,Clothing ID,Age,Rating,Recommended IND,Positive Feedback Count,Labeled Division Name,Labeled Department Name,Labeled Class Name
5275,1020,43,3,1,0,0,0,15
230,840,39,5,1,1,0,4,0
19658,999,39,5,1,0,1,0,15
9685,828,47,5,1,1,0,4,0
4028,895,44,5,1,1,1,4,4
6693,1094,56,5,1,1,0,1,3
8746,1098,49,5,1,2,0,1,3
11177,1078,39,5,1,1,1,1,3
18915,674,44,5,1,0,1,2,11
4460,896,38,4,1,4,0,4,4
17821,862,66,5,1,3,1,4,8
16679,868,56,3,1,0,0,4,8
1576,864,32,5,1,0,0,4,8
21541,936,47,4,1,0,2,2,18
13920,996,47,3,1,2,0,0,15
6676,552,50,5,1,1,0,5,19
2709,817,60,5,1,0,0,4,0
12311,1134,64,4,1,0,0,3,12
17029,820,61,5,1,0,0,4,0
6955,662,39,5,1,2,2,2,11
8494,936,34,4,1,0,2,2,18
21646,875,35,5,1,0,0,4,8
14605,850,57,5,1,2,1,4,0
1964,1009,31,4,1,4,1,0,15
17461,836,35,5,1,1,0,4,0
20305,1035,34,5,1,1,1,0,7
23281,823,46,5,1,0,0,4,0
16398,829,41,5,1,4,1,4,0
4561,820,39,5,1,1,0,4,0
17827,936,70,5,1,4,1,4,17
5586,861,43,5,1,1,0,4,8
16129,1083,23,5,1,1,0,1,3
12170,1068,47,5,1,0,0,0,13
23119,1086,39,4,1,1,0,1,3
9518,1094,59,5,1,0,0,1,3
3240,945,37,5,1,0,0,4,17
20616,1112,44,5,1,0,0,3,12
18763,829,42,5,1,1,1,4,0
2599,1110,51,5,1,1,1,1,3
22512,896,46,4,1,2,0,4,4
3752,1078,61,4,1,1,0,1,3
23122,1015,44,4,1,1,1,0,15
17179,864,45,4,1,0,0,4,8
15306,1036,46,5,1,0,0,0,7
878,936,35,5,1,1,1,4,17
9920,860,30,5,1,0,0,4,8
7813,872,41,3,1,0,1,4,8
16044,834,30,4,1,0,0,4,0
17451,964,59,5,1,7,0,3,6
3675,547,38,5,1,1,2,2,9
7511,968,52,5,1,0,0,3,6
18314,1150,58,3,1,1,0,1,3
22886,1066,26,5,1,1,1,0,13
22454,936,21,5,1,2,2,2,11
5398,1094,47,5,1,1,0,1,3
12999,1094,39,5,1,0,1,1,3
11572,983,48,4,1,0,0,3,6
21397,836,38,5,1,1,0,4,0
2217,867,38,5,1,0,1,4,8
10128,829,37,5,1,1,1,4,0
10460,1038,48,5,1,0,1,0,7
8899,862,33,4,1,1,1,4,8
10754,1037,37,5,1,0,0,0,7
9721,545,73,5,1,3,2,2,9
8280,1116,62,5,1,0,1,3,12
10615,936,48,4,1,1,2,2,10
12015,1077,29,5,1,0,0,1,3
11325,873,34,4,1,3,0,4,8
20239,873,58,5,1,2,1,4,8
13132,1078,26,4,1,0,0,1,3
15973,1056,67,5,1,0,1,0,13
939,1033,20,5,1,1,1,0,7
8707,836,56,5,1,1,0,4,0
1659,867,47,5,1,0,0,4,8
12436,863,42,5,1,0,0,4,8
20495,877,59,5,1,0,1,4,8
11433,868,55,5,1,5,1,4,8
3331,984,37,5,1,0,0,3,6
6412,1000,24,5,1,2,0,0,15
250,1026,48,5,1,1,0,0,7
11789,1079,55,5,1,4,0,1,3
2353,993,41,4,1,0,1,0,15
20967,1078,62,5,1,1,0,1,3
6029,850,35,5,1,0,1,4,0
2782,868,31,5,1,0,0,4,8
3591,1147,49,5,1,0,0,5,19
2415,1110,38,5,1,1,0,1,3
15244,831,39,3,1,3,1,4,0
9059,830,46,4,1,5,0,4,0
3408,867,58,4,1,0,0,4,8
143,1008,51,5,1,0,0,0,15
16719,1096,27,5,1,0,0,1,3
22301,936,25,5,1,1,0,0,14
12400,863,45,5,1,0,0,4,8
13572,1077,47,3,1,3,0,1,3
4841,940,63,5,1,1,0,4,17
10127,820,34,5,1,3,1,4,0
10416,1072,35,4,1,1,0,1,3
228,840,55,4,1,5,0,4,0
471,984,40,4,1,0,0,3,6
21909,1080,51,3,1,1,0,1,3
18969,1084,46,4,1,1,0,1,3
22748,1068,47,5,1,3,1,0,13
8223,862,39,5,1,0,1,4,8
21967,880,40,5,1,6,1,4,8
19906,862,36,5,1,0,0,4,8
18498,936,50,4,1,3,0,4,17
21297,1044,38,3,1,1,0,0,13
11469,1025,32,5,1,0,1,0,7
17559,1110,57,5,1,0,0,1,3
20467,829,38,5,1,2,1,4,0
12684,937,45,5,1,1,0,4,17
11916,860,61,3,1,0,1,4,8
20576,1053,34,5,1,2,1,0,13
12758,936,27,5,1,1,2,2,10
2754,1094,32,5,1,0,1,1,3
16538,1072,68,4,1,3,1,1,3
13949,1047,33,5,1,0,0,0,13
16313,1065,66,4,1,2,0,0,13
10647,862,26,3,1,0,0,4,8
22695,1087,23,5,1,0,1,1,3
11748,867,65,5,1,0,0,4,8
4941,927,68,4,1,2,0,4,17
9334,868,55,5,1,0,1,4,8
13629,1078,28,3,1,1,0,1,3
10666,1083,60,5,1,3,0,1,3
21564,864,63,5,1,1,0,4,8
8400,1092,32,5,1,3,0,1,3
19991,1030,53,5,1,1,0,0,7
18208,936,53,5,1,1,0,0,14
3605,1147,54,4,1,2,0,5,19
4838,829,33,4,1,1,0,4,0
15300,1059,44,5,1,0,0,0,13
8106,936,33,4,1,0,0,4,17
913,1066,21,5,1,0,0,0,13
20375,1059,42,5,1,0,0,0,13
8975,829,29,4,1,0,0,4,0
20590,1059,36,5,1,5,0,0,13
5628,940,37,5,1,0,1,4,17
6413,903,36,5,1,1,1,4,4
11233,872,34,5,1,1,0,4,8
4670,878,31,5,1,0,0,4,8
18525,1095,52,5,1,0,1,1,3
5705,1078,53,5,1,0,0,1,3
6044,895,41,4,1,0,0,4,4
4264,940,48,5,1,5,0,4,17
10130,820,42,3,1,0,1,4,0
8526,1008,54,4,1,5,1,0,15
2898,829,66,4,1,6,1,4,0
1620,992,66,4,1,0,1,0,15
23098,942,48,5,1,1,0,4,17
11578,1110,36,5,1,1,1,1,3
20002,836,31,3,1,1,1,4,0
21494,1093,34,3,1,0,1,1,3
11952,829,49,4,1,1,0,4,0
579,875,34,5,1,2,0,4,8
4285,1078,32,5,1,5,0,1,3
18771,1094,29,4,1,2,1,1,3
16552,1077,39,4,1,0,0,1,3
14314,1083,41,5,1,0,0,1,3
6127,862,40,5,1,0,1,4,8
12394,839,28,3,1,0,0,4,0
447,872,26,3,1,3,0,4,8
8686,1078,44,5,1,2,1,1,3
147,1011,47,5,1,1,0,0,15
9114,936,32,4,1,0,2,2,16
6674,863,68,5,1,0,1,4,8
14951,828,56,4,1,0,0,4,0
11226,936,51,5,1,2,2,2,11
15277,875,52,4,1,4,0,4,8
6415,1016,50,4,1,1,1,0,15
2223,867,33,5,1,0,1,4,8
23434,862,58,4,1,0,1,4,8
22363,927,49,3,1,0,0,4,17
13480,873,64,5,1,0,0,4,8
7724,936,24,3,1,0,0,4,17
15480,1082,25,5,1,1,1,1,3
6176,880,45,5,1,0,0,4,8
6093,823,41,3,1,2,0,4,0
6940,1089,40,5,1,0,1,1,3
13362,866,48,4,1,0,1,4,8
11207,936,51,4,1,1,2,2,11
15099,828,37,5,1,0,0,4,0
7067,862,50,3,1,0,0,4,8
3617,854,46,5,1,6,0,4,8
16753,828,29,5,1,4,1,4,0
8908,862,62,4,1,1,1,4,8
3347,883,35,4,1,0,0,4,8
2982,1094,44,5,1,1,0,1,3
14164,866,29,5,1,0,0,4,8
5702,1078,60,5,1,1,0,1,3
12377,1078,30,4,1,1,0,1,3
14743,1078,51,3,1,3,1,1,3
2207,872,42,5,1,0,0,4,8
23409,850,35,5,1,0,0,4,0
369,895,39,5,1,0,1,4,4
19647,1094,28,5,1,1,0,1,3
5323,895,62,5,1,2,0,4,4
23071,866,37,5,1,1,0,4,8
1414,1094,39,4,1,1,0,1,3
7744,824,48,5,1,0,1,4,0
90,1078,51,4,1,0,1,1,3
18802,862,34,4,1,1,1,4,8
17210,864,34,3,1,0,0,4,8
16133,1038,43,5,1,1,0,0,7
10727,1009,38,5,1,0,1,0,15
18505,936,40,5,1,0,0,4,17
23203,631,27,4,1,0,1,2,11
20690,873,26,5,1,1,0,4,8
1123,1089,52,5,1,1,1,1,3
5979,873,51,5,1,0,0,4,8
3356,833,39,5,1,1,0,4,0
6238,829,48,5,1,0,0,4,0
16725,872,46,5,1,0,0,4,8
7633,1098,39,5,1,0,1,1,3
10296,1094,31,5,1,1,1,1,3
12513,936,47,5,1,1,1,4,17
20289,1035,37,5,1,1,1,0,7
6791,895,70,5,1,6,0,4,4
16778,864,57,3,1,1,0,4,8
12765,876,29,5,1,0,0,4,8
18339,1077,46,3,1,0,1,1,3
1351,860,46,3,1,0,0,4,8
4899,984,53,5,1,0,1,3,6
3043,862,31,5,1,0,0,4,8
4890,834,52,3,1,2,1,4,0
3696,1008,31,5,1,3,1,0,15
6482,936,56,3,1,0,2,2,16
15846,815,40,5,1,5,0,4,0
12996,829,28,5,1,1,0,4,0
8575,1078,51,5,1,1,0,1,3
18652,895,59,5,1,0,0,4,4
17077,1037,38,5,1,0,0,0,7
16955,1095,57,3,1,1,0,1,3
10178,936,48,4,1,0,2,2,5
3925,1081,40,5,1,0,1,1,3
22040,860,38,5,1,3,0,4,8
13589,1077,35,5,1,1,0,1,3
18270,854,36,5,1,2,0,4,8
7418,820,19,4,1,0,1,4,0
1757,1008,53,5,1,1,1,0,15
7289,862,28,5,1,0,0,4,8
14434,1078,46,5,1,1,1,1,3
18673,840,48,5,1,0,1,4,0
8468,863,41,4,1,0,0,4,8
2380,1110,39,3,1,1,0,1,3
12754,876,36,5,1,0,0,4,8
16987,1056,60,5,1,0,0,0,13
8742,952,48,4,1,0,0,4,17
13553,927,27,4,1,0,1,4,17
19650,1083,51,5,1,0,0,1,3
19202,1078,37,5,1,6,0,1,3
1456,936,38,3,1,0,2,2,5
4469,868,39,3,1,0,0,4,8
1236,1094,60,5,1,1,0,1,3
11516,941,48,4,1,0,0,4,17
4432,1094,46,3,1,1,0,1,3
15724,907,55,5,1,1,0,4,4
10064,1037,48,5,1,0,0,0,7
10633,879,51,4,1,3,0,4,8
636,1008,38,5,1,4,0,0,15
20642,1084,49,5,1,0,0,1,3
7038,1022,38,5,1,0,0,0,7
18919,829,36,4,1,0,0,4,0
19980,830,45,5,1,2,1,4,0
12893,829,56,3,1,1,1,4,0
11446,868,48,5,1,1,0,4,8
17536,1008,48,5,1,6,1,0,15
9516,1075,49,3,1,2,1,1,3
16212,872,55,5,1,2,0,4,8
23124,1079,42,4,1,0,1,1,3
19310,871,46,4,1,3,0,4,8
16435,993,24,5,1,6,0,0,15
4401,1078,79,5,1,1,1,1,3
7362,820,54,5,1,1,1,4,0
13546,1094,40,5,1,0,1,1,3
6867,839,39,5,1,2,1,4,0
244,1066,48,3,1,0,0,0,13
1793,867,39,4,1,7,0,4,8
20404,1095,44,3,1,1,0,1,3
2272,1173,68,4,1,0,2,2,5
3795,861,43,3,1,3,0,4,8
8941,844,39,5,1,3,1,4,0
10919,1083,53,5,1,1,0,1,3
11181,1025,41,5,1,3,0,0,7
20016,828,27,5,1,1,0,4,0
6847,868,37,5,1,3,0,4,8
11950,829,63,5,1,0,0,4,0
6065,828,27,3,1,1,0,4,0
5166,865,44,5,1,1,0,4,8
22810,1078,35,5,1,3,1,1,3
22651,895,34,4,1,1,0,4,4
20030,868,32,5,1,0,0,4,8
13824,898,72,5,1,0,0,4,4
84,861,37,3,1,0,1,4,8
564,1060,40,5,1,0,0,0,13
6729,1094,58,5,1,2,0,1,3
4516,829,50,4,1,1,0,4,0
16752,1081,32,4,1,0,0,1,3
6185,881,29,5,1,0,1,4,8
8249,1116,46,5,1,0,1,3,12
6864,936,67,5,1,5,2,2,11
7541,829,47,4,1,1,0,4,0
7637,964,35,5,1,0,1,3,6
17064,949,58,3,1,0,0,4,17
23372,1110,26,5,1,1,1,1,3
15429,1099,47,5,1,0,1,1,3
1988,831,32,5,1,0,0,4,0
13472,1125,49,5,1,4,1,3,12
17917,933,33,4,1,0,1,4,17
18775,868,60,3,1,1,0,4,8
2831,1050,66,4,1,2,1,0,13
22635,886,57,4,1,0,1,4,8
1215,1095,50,3,1,1,0,1,3
3717,878,48,5,1,1,0,4,8
19526,875,30,5,1,0,0,4,8
11336,1096,25,5,1,3,1,1,3
17298,868,40,5,1,3,0,4,8
4228,1053,62,5,1,1,0,0,13
14298,1111,55,5,1,6,1,1,3
12606,936,56,5,1,0,2,2,11
1962,1092,44,4,1,3,1,1,3
18580,1034,63,5,1,2,1,0,7
21714,936,39,5,1,3,1,2,11
21919,886,36,5,1,0,1,4,8
15818,1110,50,4,1,0,1,1,3
5652,936,29,5,1,1,2,2,5
21132,1061,20,5,1,2,0,0,13
11330,1096,35,5,1,1,1,1,3
23306,823,30,5,1,1,0,4,0
11358,995,34,3,1,1,0,0,15
9168,1104,56,5,1,5,0,1,3
17386,1042,21,5,1,1,0,0,13
5792,823,74,3,1,0,0,4,0
9712,865,41,4,1,0,0,4,8
14291,1073,37,5,1,7,1,1,3
21885,1203,30,5,1,0,2,2,9
613,985,24,5,1,1,0,3,6
4168,964,61,5,1,6,1,3,6
16954,984,51,5,1,0,0,3,6
3643,1125,48,4,1,4,0,3,12
13634,1078,26,3,1,0,0,1,3
10951,1083,54,5,1,0,0,1,3
8619,1078,53,5,1,1,1,1,3
6594,1078,59,5,1,0,0,1,3
20458,1094,24,4,1,0,1,1,3
12146,865,53,5,1,0,0,4,8
4987,1110,46,5,1,0,0,1,3
2676,1131,38,5,1,0,1,3,12
5129,1133,46,4,1,0,0,3,12
14159,1129,43,5,1,2,0,3,12
6313,593,42,3,1,6,0,5,19
10528,860,49,4,1,0,0,4,8
5216,1033,59,5,1,1,1,0,7
7197,868,44,3,1,0,0,4,8
18182,1099,68,4,1,1,0,1,3
17055,821,55,5,1,0,0,4,0
11726,1117,36,3,1,1,1,3,12
18307,1053,34,3,1,0,0,0,13
6980,719,60,4,1,1,2,2,11
3004,999,47,5,1,0,0,0,15
3668,1111,36,5,1,0,0,1,3
9541,1104,25,5,1,3,0,1,3
4383,1081,43,4,1,3,1,1,3
21498,1060,46,4,1,0,0,0,13
661,1059,67,5,1,4,0,0,13
3751,1078,35,5,1,3,0,1,3
14205,1049,64,3,1,4,0,0,13
1084,1099,52,4,1,0,1,1,3
1595,936,41,3,1,0,2,2,16
19349,1008,40,5,1,5,1,0,15
390,1086,25,4,1,1,0,1,3
15329,895,43,4,1,0,0,4,4
12440,936,22,4,1,0,1,4,17
22712,1087,73,5,1,0,1,1,3
12635,936,29,5,1,0,2,2,18
11116,876,51,5,1,0,1,4,8
18390,850,37,4,1,1,0,4,0
2794,868,36,5,1,0,0,4,8
6306,1072,61,3,1,1,0,1,3
21443,861,31,5,1,0,1,4,8
1021,868,26,4,1,0,0,4,8
12355,868,46,4,1,0,0,4,8
21245,835,56,5,1,0,0,4,0
16178,936,27,5,1,1,1,4,17
8429,1046,38,5,1,1,0,0,13
13693,831,56,4,1,0,0,4,0
13135,933,23,5,1,0,0,4,17
16915,1086,58,5,1,0,0,1,3
14902,833,20,3,1,0,0,4,0
5394,1095,29,5,1,0,0,1,3
10036,829,53,5,1,1,0,4,0
6998,1078,39,5,1,2,0,1,3
1327,1080,49,3,1,1,0,1,3
17953,984,37,5,1,1,0,3,6
198,895,53,5,1,0,0,4,4
19503,875,27,5,1,1,0,4,8
16565,840,34,5,1,1,0,4,0
20601,860,32,5,1,3,0,4,8
6302,1072,50,5,1,1,0,1,3
5185,1009,37,5,1,1,0,0,15
9621,872,64,4,1,2,1,4,8
16607,1001,65,5,1,0,0,0,15
9350,868,63,5,1,0,1,4,8
11970,824,32,4,1,0,1,4,0
11417,895,46,3,1,4,1,4,4
371,895,64,5,1,4,1,4,4
13843,857,46,5,1,0,1,4,8
2094,872,36,4,1,1,1,4,8
16235,1070,53,5,1,0,0,0,13
2657,936,48,5,1,0,0,0,14
4480,1095,62,5,1,7,1,1,3
23461,936,49,4,1,1,1,2,11
1498,949,27,3,1,1,1,4,17
11601,862,41,5,1,1,0,4,8
17978,996,42,5,1,1,0,0,15
9571,862,71,5,1,1,0,4,8
18523,936,39,5,1,0,2,2,18
12830,936,39,4,1,2,2,2,11
6031,873,28,5,1,0,0,4,8
20718,873,48,3,1,0,0,4,8
8794,936,33,5,1,0,1,4,17
15557,941,35,3,1,0,1,4,17
17247,864,43,3,1,0,0,4,8
2644,598,68,3,1,7,2,2,18
3960,860,43,4,1,0,1,4,8
1845,1026,34,4,1,2,1,0,7
3394,860,46,3,1,1,0,4,8
8179,1081,32,5,1,1,1,1,3
19069,818,38,5,1,0,0,4,0
17236,831,32,5,1,0,0,4,0
17688,836,46,4,1,0,0,4,0
17015,867,37,5,1,0,0,4,8
10193,1096,63,5,1,0,0,1,3
14682,828,32,5,1,3,0,4,0
23187,936,39,5,1,3,2,2,16
6232,862,61,3,1,2,0,4,8
18274,1134,39,5,1,1,0,3,12
2159,1086,39,4,1,2,1,1,3
16348,867,65,3,1,3,0,4,8
5942,873,39,3,1,0,0,4,8
11164,996,43,5,1,3,1,0,15
20767,1110,24,5,1,1,0,1,3
10431,862,50,5,1,0,0,4,8
12745,1110,45,4,1,1,0,1,3
20542,1053,38,5,1,2,1,0,13
6032,839,60,5,1,0,0,4,0
15609,949,55,5,1,0,0,4,17
10339,1033,55,5,1,2,0,0,7
3180,909,27,4,1,0,0,4,4
21270,886,66,5,1,0,1,4,8
1469,952,53,5,1,0,0,4,17
3011,1082,45,3,1,1,0,1,3
21485,1093,56,3,1,0,1,1,3
11456,701,32,3,1,5,2,2,18
8985,940,44,5,1,0,0,4,17
9961,1022,29,5,1,1,0,0,7
6938,1084,33,5,1,1,1,1,3
3113,906,28,5,1,0,1,4,4
1656,1020,55,5,1,0,0,0,15
5580,1080,70,5,1,0,0,1,3
13982,863,50,3,1,0,0,4,8
6643,552,25,5,1,1,0,5,19
4659,1027,41,3,1,2,0,0,7
21364,823,57,5,1,5,1,4,0
18880,1094,32,3,1,0,0,1,3
21085,936,36,5,1,0,2,2,18
7360,1077,27,5,1,1,1,1,3
5079,875,36,4,1,0,0,4,8
19053,1077,58,4,1,0,0,1,3
21873,996,34,5,1,0,1,0,15
12911,829,51,3,1,1,1,4,0
14485,1008,39,4,1,0,0,0,15
2825,984,69,5,1,1,0,3,6
422,964,37,5,1,2,0,3,6
12800,1028,54,4,1,0,0,0,7
18577,604,33,5,1,0,0,0,14
14171,761,32,5,1,2,2,2,11
17132,835,36,5,1,1,0,4,0
9163,860,44,5,1,0,1,4,8
1291,850,61,4,1,0,0,4,0
20328,1078,26,5,1,1,0,1,3
21478,861,39,5,1,0,0,4,8
16074,854,47,5,1,6,0,4,8
13213,1078,45,5,1,0,0,1,3
18765,1077,35,4,1,1,0,1,3
3969,1094,32,5,1,1,1,1,3
11036,1093,62,4,1,2,0,1,3
3832,936,45,4,1,4,1,0,13
2075,1072,40,4,1,0,1,1,3
13231,1078,29,4,1,4,0,1,3
6664,1083,39,4,1,0,0,1,3
18464,1080,31,5,1,1,0,1,3
11042,1093,46,5,1,4,0,1,3
21667,1059,24,5,1,1,0,0,13
3781,1086,48,4,1,1,1,1,3
2296,1094,32,5,1,0,1,1,3
17753,1077,40,5,1,0,1,1,3
5578,974,43,5,1,5,1,3,6
10606,877,38,5,1,3,0,4,8
14835,929,40,3,1,4,0,4,17
576,833,40,5,1,1,0,4,0
2948,863,49,5,1,0,0,4,8
17084,1068,50,4,1,0,0,0,13
10708,632,60,5,1,1,2,2,11
13504,611,29,4,1,3,1,0,13
9151,1031,25,5,1,6,0,0,7
7712,825,53,5,1,0,0,4,0
15137,850,62,5,1,1,1,4,0
4893,823,26,3,1,0,0,4,0
16241,1070,52,5,1,1,0,0,13
1259,1095,32,5,1,0,0,1,3
9818,933,47,5,1,4,1,4,17
12939,927,32,5,1,0,0,4,17
5604,861,54,5,1,0,0,4,8
15833,986,52,5,1,4,0,3,6
14940,1117,42,5,1,0,0,3,12
22978,866,47,5,1,6,0,4,8
22967,895,54,5,1,1,0,4,4
5562,861,49,5,1,7,0,4,8
21366,1092,32,3,1,1,0,1,3
9964,899,57,4,1,2,0,4,4
8714,836,40,5,1,0,0,4,0
5443,909,29,5,1,3,0,4,4
14806,936,32,5,1,0,1,2,11
1982,1092,39,5,1,2,1,1,3
148,1008,64,5,1,0,0,0,15
16447,1086,35,3,1,1,0,1,3
15327,897,21,4,1,0,0,4,4
2425,873,50,5,1,4,0,4,8
16221,936,37,5,1,0,0,4,3
23040,940,51,5,1,3,0,4,17
22574,1085,53,5,1,7,1,1,3
20779,1094,51,3,1,3,0,1,3
159,829,33,4,1,0,1,4,0
22543,1033,28,5,1,4,0,0,7
8404,1092,41,5,1,0,0,1,3
10635,1068,39,5,1,0,1,0,13
12717,1082,60,5,1,6,1,1,3
431,967,56,5,1,1,0,3,6
4320,1081,47,5,1,0,0,1,3
14061,939,66,5,1,1,1,4,17
7426,820,28,5,1,1,1,4,0
15569,1044,36,5,1,2,0,0,13
17592,901,52,5,1,0,0,4,4
3006,862,76,5,1,0,0,4,8
978,1094,29,5,1,0,0,1,3
17230,974,38,5,1,1,0,3,6
9453,885,40,3,1,0,0,4,8
759,936,33,5,1,4,2,2,9
20646,984,41,5,1,0,0,3,6
5687,1020,62,5,1,4,0,0,15
7592,1098,33,5,1,1,1,1,3
21543,936,20,3,1,1,1,4,17
21489,855,57,5,1,0,0,4,8
9576,826,29,3,1,0,0,4,0
7877,1110,39,5,1,1,1,1,3
23134,1062,47,5,1,1,0,0,13
18366,1077,49,4,1,0,0,1,3
1755,1095,27,4,1,0,1,1,3
10443,1078,39,5,1,1,0,1,3
17367,860,26,5,1,3,1,4,8
9871,1089,56,5,1,1,0,1,3
13053,975,32,5,1,1,1,3,6
23441,1104,63,5,1,1,1,1,3
22129,872,41,5,1,4,0,4,8
14822,994,30,5,1,2,0,0,15
16665,868,43,3,1,4,0,4,8
18153,1094,27,5,1,4,0,1,3
6376,1144,51,4,1,0,0,5,19
5437,1087,31,5,1,0,0,1,3
9689,828,47,5,1,0,0,4,0
12913,1078,39,5,1,0,1,1,3
2135,896,34,5,1,0,0,4,4
16131,1083,32,5,1,0,0,1,3
20498,870,53,5,1,7,0,4,8
11311,986,57,5,1,6,0,3,6
16163,872,41,3,1,1,0,4,8
15286,865,35,5,1,1,0,4,8
19047,850,29,5,1,0,0,4,0
12721,1110,48,5,1,1,0,1,3
6549,1020,41,5,1,6,0,0,15
10399,1020,44,5,1,0,0,0,15
4196,860,38,5,1,5,1,4,8
16141,1083,37,3,1,0,0,1,3
9391,854,29,4,1,0,1,4,8
7951,862,23,5,1,4,0,4,8
21321,865,39,5,1,0,1,4,8
17348,1059,51,4,1,1,0,0,13
6649,1085,41,5,1,0,0,1,3
5421,877,28,5,1,0,0,4,8
17349,1059,62,5,1,0,0,0,13
1616,1059,41,5,1,2,0,0,13
1082,987,58,4,1,4,0,0,15
4158,829,64,5,1,0,0,4,0
14270,1094,47,4,1,1,0,1,3
4379,1078,46,5,1,0,0,1,3
2372,1047,58,4,1,1,1,0,13
18888,674,53,5,1,1,1,2,11
5253,862,29,5,1,0,0,4,8
19160,1121,38,5,1,0,0,3,12
18147,1079,56,3,1,0,1,1,3
21843,868,36,5,1,1,0,4,8
21938,829,60,5,1,0,0,4,0
7945,877,35,5,1,0,1,4,8
9654,828,49,5,1,2,1,4,0
14704,927,54,5,1,2,1,4,17
21858,923,60,5,1,1,0,4,17
11394,1074,23,3,1,1,0,1,3
2477,1027,54,5,1,0,0,0,7
10144,872,33,5,1,2,1,4,8
3519,872,57,5,1,5,0,4,8
22655,1094,39,5,1,0,0,1,3
11027,830,27,5,1,4,1,4,0
19762,936,39,4,1,2,2,2,11
6076,828,54,5,1,1,0,4,0
503,948,40,5,1,0,1,4,17
13508,1053,26,5,1,0,1,0,13
19644,877,67,5,1,2,0,4,8
17115,828,25,5,1,3,0,4,0
6994,936,58,5,1,3,0,0,14
15170,940,37,5,1,0,0,4,17
16654,868,30,5,1,0,0,4,8
12363,868,35,3,1,1,0,4,8
6927,867,68,5,1,0,1,4,8
17701,936,25,4,1,1,2,2,18
17274,825,34,5,1,1,0,4,0
1698,899,47,5,1,6,1,4,4
15989,1056,57,5,1,3,0,0,13
15681,907,66,5,1,0,0,4,4
16684,818,49,4,1,0,0,4,0
15688,921,67,5,1,7,0,4,17
679,936,34,4,1,0,2,2,10
835,895,35,5,1,1,0,4,4
